Player Name,Team,Position,Age,Games Played,Games Started,MPG,FGM per game,FGA per game,FG%,3PM per game,3PA  per game,3P%,2PM per game,2PA per game,2P%,eFG%,FTM per game,FTA per game,FT%,ORB per game,DRB per game,TRB per game,AST per game,STL per game,BLK per game,TOV per game,Fouls per game,PPG
Grayson Allen,PHX,SG,28,2,2,21.5,0.5,2.5,0.2,0.5,2.5,0.2,0,0,0,0.3,2,2,1,1,3,4,1,0.5,0,1.5,2,3.5
Bradley Beal,PHX,SG,30,4,4,38.5,6.5,14.8,0.441,2.5,5.8,0.435,4,9,0.444,0.525,1,1.3,0.8,1.5,1.3,2.8,4.5,0.8,0.3,3.3,3.8,16.5
Bol Bol,PHX,PF,24,3,0,4.3,0.3,1,0.333,0,0,0,0.3,1,0.333,0.333,0,0,0,0,1.3,1.3,0,0.3,0,0,0.7,0.7
Devin Booker,PHX,PG,27,4,4,41.5,8,16.3,0.492,1.8,5,0.35,6.3,11.3,0.556,0.546,9.8,10.3,0.951,0.3,3,3.3,6,1.8,0.3,2.8,4.5,27.5
Oshae Brissett,BOS,SF,25,5,0,3.2,0.6,1.2,0.5,0.2,0.2,1,0.4,1,0.4,0.583,0,0.4,0,0.4,1,1.4,0,0,0,0.2,0,1.4
Jaylen Brown,BOS,SF,27,11,11,35.9,9.4,17.1,0.548,1.7,4.8,0.358,7.6,12.3,0.622,0.598,2.9,4.7,0.615,1.3,5.4,6.6,2.7,0.9,0.5,2.8,2.3,23.4
Kevin Durant,PHX,PF,35,4,4,42,9.3,16.8,0.552,1.3,3,0.417,8,13.8,0.582,0.59,7,8.5,0.824,0.3,6.3,6.5,3.3,0.5,1.5,2.5,2,26.8
Drew Eubanks,PHX,C,26,3,0,12.3,2.3,4,0.583,0,0,0,2.3,4,0.583,0.583,1,1,1,0,1.3,1.3,0,0.7,0.3,0.7,2,5.7
Eric Gordon,PHX,SG,35,4,0,29.5,2.3,7,0.321,1.8,4.3,0.412,0.5,2.8,0.182,0.446,1.8,2,0.875,0.3,1.5,1.8,1.3,1.3,0.5,1,1.3,8
Sam Hauser,BOS,SF,26,11,0,14.1,1.8,3.9,0.465,1.4,3.3,0.417,0.5,0.6,0.714,0.64,0,0,0,0.3,1.5,1.8,0.4,0.2,0.1,0.2,0.9,5
Jrue Holiday,BOS,PG,33,11,11,38.1,4.5,9.7,0.467,1.9,4.7,0.404,2.6,5,0.527,0.565,1,1.1,0.917,1.7,3.5,5.2,4.5,1.4,0.7,1.5,1.8,12
Al Horford,BOS,C,37,11,7,29.6,3.6,8.1,0.449,1.7,5.6,0.306,1.9,2.5,0.778,0.556,0.4,0.6,0.571,1.9,5.3,7.2,2,0.5,0.8,0.6,1.4,9.4
Luke Kornet,BOS,C,28,9,0,12.6,1.4,2.1,0.684,0,0,0,1.4,2.1,0.684,0.684,1.2,1.4,0.846,1.8,2.3,4.1,0.6,0,0.6,0.6,1,4.1
Nassir Little,PHX,SF,23,4,0,3.5,0.8,1.3,0.6,0.3,0.8,0.333,0.5,0.5,1,0.7,0,0,0,0,0.3,0.3,0,0,0,0,0.5,1.8
Svi Mykhailiuk,BOS,SF,26,4,0,4.3,0,0.8,0,0,0.8,0,0,0,0,0,0,0,0,0.3,0.5,0.8,0.3,0.3,0,0.5,0.5,0
Jusuf Nurkic,PHX,C,29,4,4,26,3.3,6.5,0.5,0,0.5,0,3.3,6,0.542,0.5,1.3,2.8,0.455,3.3,5,8.3,2.8,1.5,1.5,1.5,3.8,7.8
Royce O'Neale,PHX,SF,30,4,2,26,1.8,5.5,0.318,1.5,4.5,0.333,0.3,1,0.25,0.455,0,0,0,1.3,3.5,4.8,1,0.3,0,0.5,2.8,5
Josh Okogie,PHX,SG,25,4,0,7.3,1.3,2.3,0.556,0.3,0.8,0.333,1,1.5,0.667,0.611,0.8,1.5,0.5,0,1,1,0.5,0.5,0,0.5,1.8,3.5
Kristaps Porzingis,BOS,C,28,4,4,26.3,3.5,9,0.389,2,5,0.4,1.5,4,0.375,0.5,3.3,3.5,0.929,1,4,5,1.8,1.3,1.5,1,2.5,12.3
Payton Pritchard,BOS,PG,26,11,0,22.8,2.8,6,0.47,1.5,3.5,0.447,1.3,2.5,0.5,0.598,0.6,0.7,0.875,0.9,1.4,2.3,2.5,0.3,0,0.8,1.2,7.8
Neemias Queta,BOS,C,24,2,0,4,0.5,1,0.5,0,0,0,0.5,1,0.5,0.5,0,0,0,0.5,1,1.5,0,0,0,0,0,1
David Roddy,PHX,PF,22,2,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaden Springer,BOS,PG,21,3,0,4.7,0.7,0.7,1,0,0,0,0.7,0.7,1,1,0,0,0,0,0.3,0.3,0.3,0,0.3,0.7,0.3,1.3
Jayson Tatum,BOS,PF,25,11,11,39.7,8.1,18.6,0.434,1.8,6.5,0.278,6.3,12.1,0.519,0.483,7.4,8.5,0.862,0.7,9.8,10.5,5.6,1.2,0.7,2.3,2.9,25.4
Isaiah Thomas,PHX,PG,34,1,0,4,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Xavier Tillman Sr.,BOS,PF,25,3,0,8.3,0.7,0.7,1,0,0,0,0.7,0.7,1,1,0,0,0,0,2,2,0.7,0.7,0.3,0,1,1.3
Jordan Walsh,BOS,SF,19,2,0,3,0.5,0.5,1,0,0,0,0.5,0.5,1,1,0,0,0,0,0.5,0.5,0,0,0,0,0,1
Derrick White,BOS,SG,29,11,11,34.4,6.4,13.4,0.476,3.6,8.5,0.43,2.7,4.9,0.556,0.612,1.5,1.7,0.895,0.7,3.3,4,4.3,0.5,0.9,0.9,2,17.9
Thaddeus Young,PHX,PF,35,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
